"css-175oi2r href","css-9pa8cd src","css-1jxf684","css-1jxf684 2","css-146c3p1 href","css-146c3p1","css-146c3p1 2","css-1jxf684 href","css-1jxf684 4","css-1jxf684 5","css-1jxf684 href 2","css-1jxf684 6","css-1jxf684 7","css-1jxf684 8","css-1jxf684 9","css-175oi2r href 4","css-1jxf684 10","css-1jxf684 11","css-1jxf684 href 3","css-1jxf684 12","r-4qtqp9 src","css-1jxf684 13","css-1jxf684 href 4","css-1jxf684 14","css-1jxf684 15"
"https://x.com/HopefulofNFTs","https://pbs.twimg.com/profile_images/1841337886169333760/6BRnHOqR_normal.jpg","HopefulofNFTs","@HopefulofNFTs","https://x.com/HopefulofNFTs/status/2009678636597530729","4h","En respuesta a","https://x.com/Megatron_ron","@Megatron_ron","","","","Hey","Patagonia","verify 

The post alleges an Israeli-manufactured M26 IM grenade, used by the IDF, ignited massive wildfires in Argentine","https://x.com/HopefulofNFTs/status/2009678636597530729/analytics","9 mil","2","","","","@grok","https://x.com/grok","1",""
"https://x.com/kindrionl","https://pbs.twimg.com/profile_images/2006822492615131136/EeMhZHWh_normal.jpg","Kindrion","@kindrionl","https://x.com/kindrionl/status/2009677666685710501","4h","Respondiendo a","https://x.com/Thaeus4","@Thaeus4","","https://x.com/avanguardor","@avanguardor","Árvores como as da","Patagônia","vivem mais tempo que um ser humano e demoram uma vida humana inteira para crescerem de novo, ao matar as árvores hoje, o que elas iriam fazer pelos próximos 100 anos foi interrompido, as árvores velhas que ajudariam as árvores novas não existem mais.","https://x.com/kindrionl/status/2009677666685710501/analytics","18","3","https://x.com/kindrionl/status/2009677666685710501/people","y 2 más","","","","",""
"https://x.com/NoCapFun","https://pbs.twimg.com/profile_images/1983385522027257856/SJvAON0W_normal.jpg","NoCapFun","@NoCapFun","https://x.com/NoCapFun/status/2009670140217217519","5h","","","","","","","Hey","Patagonia",",

Why do you think Israelis are setting","https://x.com/NoCapFun/status/2009670140217217519/analytics","17","1","","","","@grok","https://x.com/grok","",""
"https://x.com/Longhousecat","https://pbs.twimg.com/profile_images/1990166071291109376/j3uAnUKI_normal.jpg","Esotericat","@Longhousecat","https://x.com/Longhousecat/status/2009667130988306637","5h","Respondiendo a","https://x.com/Lasurak","@Lasurak","","https://x.com/RedQReckoning","@RedQReckoning","What kinds of resources are found in the","","region of Argentina?

And what has hindered their extraction so far?","https://x.com/Longhousecat/status/2009667130988306637/analytics","114","1","https://x.com/Longhousecat/status/2009667130988306637/people","y 2 más","","@grok","https://x.com/grok","1","Patagonia"
"https://x.com/2022susana","https://pbs.twimg.com/profile_images/1488873913476132864/Cyu0HFoZ_normal.jpg","SU, NO ME CENSUREN","@2022susana","https://x.com/2022susana/status/2009665788706463847","5h","En respuesta a","https://x.com/grok","@grok","y","https://x.com/MConurbasic","@MConurbasic","Concretamente ISRAELIES  incendiaron","PATAGONIA","chilena ? Si o NO ?","https://x.com/2022susana/status/2009665788706463847/analytics","36","1","https://x.com/NachoTorresCH","@NachoTorresCH","","","","",""
"https://x.com/DamiaoA85","https://pbs.twimg.com/profile_images/3146870721/4ccd47d3a0bff297e2c0bd82da93da81_normal.jpeg","Damian A.","@DamiaoA85","https://x.com/DamiaoA85/status/2009665201109704845","5h","En respuesta a","https://x.com/Ladob","@Ladob","y","https://x.com/grok","@grok","Mirá en lo que te enfocas mientras te muestran que realmente hubo israelíes incendiando la","Patagonia",", se ve que eso no te molesta tanto...","https://x.com/DamiaoA85/status/2009665201109704845/analytics","69","","https://x.com/porqetendencias","@porqetendencias","","","","",""
"https://x.com/srLiukung","https://pbs.twimg.com/profile_images/1988608033790820352/ro0x1TTM_normal.jpg","Emiliano Reinoso","@srLiukung","https://x.com/srLiukung/status/2009662046326104194","5h","En respuesta a","https://x.com/ezekopel","@ezekopel","","","","existio un proyecto sionista de fundacion de un estado en la","","argentina?","https://x.com/srLiukung/status/2009662046326104194/analytics","219","1","","","","@grok","https://x.com/grok","1","patagonia"
"https://x.com/JoshuaBrunken","https://pbs.twimg.com/profile_images/1723817031349264384/wB2JR2li_normal.jpg","Joshua Brunken (2026 is my year. or something...)","@JoshuaBrunken","https://x.com/JoshuaBrunken/status/2009660239625457993","5h","En respuesta a","https://x.com/grok","@grok","","","","I wish I remember but I think it was a action or scifi show.

I highly doubt any sitcoms ever mentioned","","?

But felt like asking anyway.","https://x.com/JoshuaBrunken/status/2009660239625457993/analytics","13","1","","","","@grok","https://x.com/grok","","Patagonia"
"https://x.com/Mileinnial","https://pbs.twimg.com/profile_images/1974147046031372289/jmwZtWne_normal.jpg","PN°10(E)","@Mileinnial","https://x.com/Mileinnial/status/2009660116531134928","5h","En respuesta a","https://x.com/lucas15823640","@lucas15823640","y","https://x.com/mernuel_","@mernuel_","haceme el favor de domar a este kukardo por mi. Listá año por año desde 2000 hasta el año actual si hubo incendios en la","","argentina, incluyendo ejemplos y fuentes.","https://x.com/Mileinnial/status/2009660116531134928/analytics","170","1","","","","@grok","https://x.com/grok","","Patagonia"
"https://x.com/JoshuaBrunken","https://pbs.twimg.com/profile_images/1723817031349264384/wB2JR2li_normal.jpg","Joshua Brunken (2026 is my year. or something...)","@JoshuaBrunken","https://x.com/JoshuaBrunken/status/2009659388315992135","5h","En respuesta a","https://x.com/grok","@grok","","","","I'm thinking of a 80's or 90's tv show that mentioned","","briefly in passing ?","https://x.com/JoshuaBrunken/status/2009659388315992135/analytics","20","1","","","","@grok","https://x.com/grok","","Patagonia"
"https://x.com/JoshuaBrunken","https://pbs.twimg.com/profile_images/1723817031349264384/wB2JR2li_normal.jpg","Joshua Brunken (2026 is my year. or something...)","@JoshuaBrunken","https://x.com/JoshuaBrunken/status/2009658661845799083","5h","En respuesta a","https://x.com/grok","@grok","","","","What is,","","famous for in tv or film media ?

I swear, I've heard that name in some tv shows or films ?","https://x.com/JoshuaBrunken/status/2009658661845799083/analytics","14","1","","","","@grok","https://x.com/grok","","Patagonia"
"https://x.com/ponziopilatoz","https://pbs.twimg.com/profile_images/1752703781215891456/0I9dapYL_normal.png","PonCEO","@ponziopilatoz","https://x.com/ponziopilatoz/status/2009657338815475929","6h","En respuesta a","https://x.com/BiondiniCesar","@BiondiniCesar","","","","el incendio en torres del paine,","","chilena en 2011 o 2012 quien fue culpable, de que pais? Porque no fue encarcelado y le dejaron pagar fianza?","https://x.com/ponziopilatoz/status/2009657338815475929/analytics","21","1","","","","@grok","https://x.com/grok","1","patagonia"
"https://x.com/_AAhmed004","https://pbs.twimg.com/profile_images/1718188320537411584/bpvWki2k_normal.jpg","A Ahmed","@_AAhmed004","https://x.com/_AAhmed004/status/2009740966798962781","32min","En respuesta a","https://x.com/HopefulofNFTs","@HopefulofNFTs","y","https://x.com/Megatron_ron","@Megatron_ron","since Jan 5, 2026, burning over 17,500 hectares and evacuating ~3,000 people","Patagonia","","https://x.com/_AAhmed004/status/2009740966798962781/analytics","168","","https://x.com/grok","@grok","","","","",""
